text_number	file_name	file_path	segment_start	segment_end	segment_text
b01-084	b01-084.png	/092/b01-084.png	1939	2108	which have set their hands to this plough.
a06-100	a06-100.png	/081/a06-100.png	693	865	Referring to previous negotiations, Mr. Macmillan looked towards
a06-100	a06-100.png	/081/a06-100.png	875	1045	Mr. Reginald Maudling. ”These were negotiations in which the
a06-100	a06-100.png	/081/a06-100.png	1051	1224	President of the Board of Trade played a conspicuous part,” the
a06-100	a06-100.png	/081/a06-100.png	1228	1398	Premier said. He dismissed the idea that Britain would be
a06-100	a06-100.png	/081/a06-100.png	1409	1581	swamped by cheap labour. Our industry, he said, would
a06-100	a06-100.png	/081/a06-100.png	1592	1765	probably gain. ”Many people feel we have had, perhaps, too
a06-100	a06-100.png	/081/a06-100.png	1782	1931	much shelter,” he went on.
n02-146	n02-146.png	/081/n02-146.png	886	1056	She was tempted to laugh, but it was as though that barb still stuck
n02-146	n02-146.png	/081/n02-146.png	1070	1236	in her quivering flesh. ”You’ve an answer - of sorts - for everything,” she
n02-146	n02-146.png	/081/n02-146.png	1241	1414	said shortly. ”Personally I’ve no more to say, so I suggest we get
n02-146	n02-146.png	/081/n02-146.png	1425	1594	along.” To her great relief they arrived at the cluster of little houses
n02-146	n02-146.png	/081/n02-146.png	1603	1774	where Hubert had been living to find the old man stowing in
n02-146	n02-146.png	/081/n02-146.png	1782	1954	leisurely fashion his few possessions into a ramshackle and
a06-110	a06-110.png	/082/a06-110.png	703	884	Conservatives protested when
a06-110	a06-110.png	/082/a06-110.png	884	1069	Mr. Gaitskell said he had been
a06-110	a06-110.png	/082/a06-110.png	1069	1249	told this ”by some people
a06-110	a06-110.png	/082/a06-110.png	1249	1429	of considerable authority,” he
a06-110	a06-110.png	/082/a06-110.png	1429	1602	retorted. ”I agree with the Prime
a06-110	a06-110.png	/082/a06-110.png	1602	1783	Minister that I do not think
a06-110	a06-110.png	/082/a06-110.png	1783	1964	we are necessarily bound for
a06-110	a06-110.png	/082/a06-110.png	1964	2147	federalism in Europe,” he went
a02-090	a02-090.png	/026/a02-090.png	695	870	It is true he made a point of again being absent
a02-090	a02-090.png	/026/a02-090.png	871	1047	from Northern Rhodesia when his followers have
a02-090	a02-090.png	/026/a02-090.png	1047	1226	indulged in such violence.” But Sir Roy pointed out
a02-090	a02-090.png	/026/a02-090.png	1226	1403	that a few months ago Mr. Kaunda said that
a02-090	a02-090.png	/026/a02-090.png	1404	1587	if UNIP did not get its way what would happen
a02-090	a02-090.png	/026/a02-090.png	1587	1764	would make the Mau Mau in Kenya ”seem like a
a02-090	a02-090.png	/026/a02-090.png	1773	1925	child’s picnic.”
a02-037	a02-037.png	/026/a02-037.png	696	866	The urge came from a conference of activists of
a02-037	a02-037.png	/026/a02-037.png	866	1048	Nkrumah’s Convention Party ”after powerful addresses
a02-037	a02-037.png	/026/a02-037.png	1048	1227	by Comrades Krobo Edusei, Tawia Adamafio,” and
a02-037	a02-037.png	/026/a02-037.png	1227	1405	others. Strong deeds followed strong words. In Takoradi
a02-037	a02-037.png	/026/a02-037.png	1407	1589	a ”limited state of emergency” was declared, giving
a02-037	a02-037.png	/026/a02-037.png	1591	1765	the Government adequate power to maintain all
a02-037	a02-037.png	/026/a02-037.png	1766	1945	essential services and ensure food supplies. Thus it
a02-037	a02-037.png	/026/a02-037.png	1948	2124	becomes an offence punishable with imprisonment
a02-037	a02-037.png	/026/a02-037.png	2124	2307	for anyone who ”publishes a report likely to cause
a02-037	a02-037.png	/026/a02-037.png	2308	2485	alarm or prejudicial to public safety.”
a02-042	a02-042.png	/026/a02-042.png	699	869	And up to ten years’ imprisonment can be imposed
a02-042	a02-042.png	/026/a02-042.png	878	1051	on anyone convicted of sabotage. These stern measures
a02-042	a02-042.png	/026/a02-042.png	1054	1228	had the desired effect today at Kumasi where the
a02-042	a02-042.png	/026/a02-042.png	1228	1407	strikers gave in, but in Takoradi, the chief storm centre,
a02-042	a02-042.png	/026/a02-042.png	1409	1588	they are still holding out despite the presence of 1,400
a02-042	a02-042.png	/026/a02-042.png	1594	1764	police and 16 armoured cars. And how did the
a02-042	a02-042.png	/026/a02-042.png	1768	1942	Government react when the strikers demonstrated in
a02-042	a02-042.png	/026/a02-042.png	1966	2081	Accra?
a02-098	a02-098.png	/026/a02-098.png	684	861	Its terms have set the Prime Minister an exacting
a02-098	a02-098.png	/026/a02-098.png	870	1047	problem. Mr. Sandys has warned of the risk of a
a02-098	a02-098.png	/026/a02-098.png	1056	1231	strong reaction from Sir Roy Welensky to any
a02-098	a02-098.png	/026/a02-098.png	1233	1406	suggestion that there may be fresh concessions to the
a02-098	a02-098.png	/026/a02-098.png	1410	1586	African nationalists. Mr. Macleod has ample evidence
a02-098	a02-098.png	/026/a02-098.png	1586	1766	from talks with Sir John Moffat, Northern Rhodesian
a02-098	a02-098.png	/026/a02-098.png	1766	1946	Liberal leader, and Mr. Kaunda, that the bulk
a02-098	a02-098.png	/026/a02-098.png	1952	2127	of moderates and Africans will reject the
a02-098	a02-098.png	/026/a02-098.png	2130	2303	Constitution unless it is modified.
a02-093	a02-093.png	/026/a02-093.png	680	861	JOHN DICKIE writes: Mr. Macmillan gave top
a02-093	a02-093.png	/026/a02-093.png	875	1046	priority to the clash over Northern Rhodesia on his
a02-093	a02-093.png	/026/a02-093.png	1055	1228	return from Scotland yesterday. He summoned Mr.
a02-093	a02-093.png	/026/a02-093.png	1230	1410	Iain Macleod, Colonial Secretary, and Mr. Duncan Sandys,
a02-093	a02-093.png	/026/a02-093.png	1410	1592	Commonwealth Relations Secretary for an hour’s talks
a02-093	a02-093.png	/026/a02-093.png	1594	1767	at Admiralty House. A statement is expected today
a02-093	a02-093.png	/026/a02-093.png	1772	1947	to hold the door open for modifications to the
a02-093	a02-093.png	/026/a02-093.png	1954	2127	new Constitution provided law and order is maintained
a02-093	a02-093.png	/026/a02-093.png	2142	2302	in Northern Rhodesia.
b04-154	b04-154.png	/112/b04-154.png	669	875	GOOD for Sir Roy Welensky! The tough,
b04-154	b04-154.png	/112/b04-154.png	875	1054	resolute Premier of the Rhodesian Federation
b04-154	b04-154.png	/112/b04-154.png	1054	1236	shakes the life out of his critics. He calls them
b04-154	b04-154.png	/112/b04-154.png	1236	1411	”jelly-boned.” He promises to preserve federation
b04-154	b04-154.png	/112/b04-154.png	1411	1590	against African fanatics and woolly minded
b04-154	b04-154.png	/112/b04-154.png	1590	1763	individuals in the West. Some may ask: Is
b04-154	b04-154.png	/112/b04-154.png	1763	1948	Welensky justified in being so harsh to those who
b04-154	b04-154.png	/112/b04-154.png	1948	2130	disagree with him? The facts answer that.
b04-147	b04-147.png	/112/b04-147.png	679	875	AN experiment in courtesy is launched by the Electricity
b04-147	b04-147.png	/112/b04-147.png	881	1058	Board. The board is laying a cable along a seven-
b04-147	b04-147.png	/112/b04-147.png	1058	1237	mile route in Surrey. A warden, Mr. Jack Finlay,
b04-147	b04-147.png	/112/b04-147.png	1237	1417	has been appointed to smooth out difficulties for
b04-147	b04-147.png	/112/b04-147.png	1419	1591	householders when trenches are dug outside their
b04-147	b04-147.png	/112/b04-147.png	1591	1777	front gates. Splendid. By showing concern
b04-147	b04-147.png	/112/b04-147.png	1777	1959	for the people the board will earn their good will.
b04-147	b04-147.png	/112/b04-147.png	1959	2142	Happy patrolling, Mr. Finlay!
b04-134	b04-134.png	/112/b04-134.png	702	863	For expansion today means still greater
b04-134	b04-134.png	/112/b04-134.png	863	1055	prosperity tomorrow. BERTRAND RUSSELL,
b04-134	b04-134.png	/112/b04-134.png	1055	1237	the 88-year-old standard bearer of the Ban-
b04-134	b04-134.png	/112/b04-134.png	1237	1419	the-Bomb crusade, has a devoted following.
b04-134	b04-134.png	/112/b04-134.png	1420	1601	Thousands march with him - and sit with him
b04-134	b04-134.png	/112/b04-134.png	1601	1772	too. It is said by some that he is a saint; by
b04-134	b04-134.png	/112/b04-134.png	1772	1947	others that he is a prophet. He is, in fact, a
b04-134	b04-134.png	/112/b04-134.png	1947	2143	philosopher with a highly developed sense of publicity
b04-134	b04-134.png	/112/b04-134.png	2143	2325	who has been spectacularly wrong on the great
b04-134	b04-134.png	/112/b04-134.png	2330	2480	issues of our time.
b04-140	b04-140.png	/112/b04-140.png	656	874	BEFORE the war he urged the British people
b04-140	b04-140.png	/112/b04-140.png	874	1050	to welcome Hitler’s troops as tourists.
b04-140	b04-140.png	/112/b04-140.png	1050	1232	After the war he favoured a preventive war against
b04-140	b04-140.png	/112/b04-140.png	1232	1404	Russia. Now he wants Britain to demolish her
b04-140	b04-140.png	/112/b04-140.png	1404	1593	defences. Throughout the years Lord Russell
b04-140	b04-140.png	/112/b04-140.png	1593	1767	and his supporters have been able to pursue their
b04-140	b04-140.png	/112/b04-140.png	1767	1951	eccentric campaigns in freedom. They should
b04-140	b04-140.png	/112/b04-140.png	1951	2120	ask themselves this question: How long would
b04-140	b04-140.png	/112/b04-140.png	2120	2318	that freedom last if their policies were adopted?
a02-067	a02-067.png	/032/a02-067.png	730	906	They are required to show why they
a02-067	a02-067.png	/032/a02-067.png	906	1085	should not be bound over for disturbing
a02-067	a02-067.png	/032/a02-067.png	1088	1262	the peace and for inciting a breach
a02-067	a02-067.png	/032/a02-067.png	1266	1445	of the peace. The summonses say they
a02-067	a02-067.png	/032/a02-067.png	1445	1620	are ”likely to persevere in such unlawful
a02-067	a02-067.png	/032/a02-067.png	1620	1795	conduct.” Lord Russell, 89, was
a02-067	a02-067.png	/032/a02-067.png	1798	1978	putting his affairs in order, and
a02-067	a02-067.png	/032/a02-067.png	1982	2156	packing a case, at his Chelsea home
a02-067	a02-067.png	/032/a02-067.png	2159	2337	yesterday. His secretary, American-born
a02-067	a02-067.png	/032/a02-067.png	2337	2515	Mr. Ralph Schoenman, said:
c06-111	c06-111.png	/124/c06-111.png	727	906	This sort of situation calls for some subtle,
c06-111	c06-111.png	/124/c06-111.png	906	1088	slightly sardonic handling. It doesn’t get it.
c06-111	c06-111.png	/124/c06-111.png	1088	1261	But The Marriage-Go-Round is not entirely a waste of
c06-111	c06-111.png	/124/c06-111.png	1261	1440	time. I learned from it that in the Institutes of Advanced
c06-111	c06-111.png	/124/c06-111.png	1444	1619	Studies attached to some American universities
c06-111	c06-111.png	/124/c06-111.png	1619	1806	the subject Social Psychology used to be called
c06-111	c06-111.png	/124/c06-111.png	1807	1983	Home-making and is now known as Domestic
c06-111	c06-111.png	/124/c06-111.png	2002	2143	Relations.
b06-049	b06-049.png	/124/b06-049.png	865	1040	When Scarborough carried our point of view
b06-049	b06-049.png	/124/b06-049.png	1041	1216	we were naturally delighted, more so because
b06-049	b06-049.png	/124/b06-049.png	1216	1395	the alternatives had been put clearly to
b06-049	b06-049.png	/124/b06-049.png	1401	1574	the movement, which had then chosen a vigorous
b06-049	b06-049.png	/124/b06-049.png	1577	1755	anti-Nato, anti-Tory, anti-bomb and anti-German
b06-049	b06-049.png	/124/b06-049.png	1763	1936	rearmament policy. Hopes rose as we saw a
b06-049	b06-049.png	/124/b06-049.png	1939	2115	perspective of sharp struggle based on consistent
b06-049	b06-049.png	/124/b06-049.png	2115	2291	lines of difference with the Tories. Many members
b06-049	b06-049.png	/124/b06-049.png	2291	2474	understood that the bread-and-butter struggles
b06-049	b06-049.png	/124/b06-049.png	2477	2653	of the union would become easier in the context
b06-004	b06-004.png	/124/b06-004.png	678	856	”Without Britain’s tolerance German rear-
b06-004	b06-004.png	/124/b06-004.png	862	1037	mament in the air would be jeopardised.” When
b06-004	b06-004.png	/124/b06-004.png	1043	1221	Hoesch’s reports, along with other nazi documents,
b06-004	b06-004.png	/124/b06-004.png	1222	1397	were captured and published after the war the
b06-004	b06-004.png	/124/b06-004.png	1400	1578	pattern of British Government connivance became
b06-004	b06-004.png	/124/b06-004.png	1578	1757	clear. At nazi Germany’s request, Britain was
b06-004	b06-004.png	/124/b06-004.png	1758	1938	providing the cloak for Germany to build an
b06-004	b06-004.png	/124/b06-004.png	1938	2119	air force bigger than that of France.
b06-075	b06-075.png	/124/b06-075.png	716	886	At the same time that unity cannot be
b06-075	b06-075.png	/124/b06-075.png	897	1077	established on a false basis, or by creating
b06-075	b06-075.png	/124/b06-075.png	1081	1254	further confusion within the movement. Unity
b06-075	b06-075.png	/124/b06-075.png	1254	1433	will never be established on the basis of leaders
b06-075	b06-075.png	/124/b06-075.png	1442	1615	being a law unto themselves and opposing
b06-075	b06-075.png	/124/b06-075.png	1615	1792	conference decisions when it suits their own
b06-075	b06-075.png	/124/b06-075.png	1794	1971	convenience. Unity can never be established by
b06-075	b06-075.png	/124/b06-075.png	1971	2149	any formula uniting those who oppose German
b06-075	b06-075.png	/124/b06-075.png	2149	2329	troops being trained on British soil and Polaris,
b06-075	b06-075.png	/124/b06-075.png	2329	2512	and those who are for this policy - which is the
b06-075	b06-075.png	/124/b06-075.png	2512	2689	same as that of the Tory Government.
c06-091	c06-091.png	/132/c06-091.png	659	855	It’s hereabouts that the budge takes to the bottle, but I
c06-091	c06-091.png	/132/c06-091.png	855	1037	don’t think it was through boredom. The film is funny enough
c06-091	c06-091.png	/132/c06-091.png	1037	1212	in places and has a line or two of painful home truths
c06-091	c06-091.png	/132/c06-091.png	1212	1395	thrown in. ”I don’t want to talk like an adult,” screams
c06-091	c06-091.png	/132/c06-091.png	1395	1577	Gina, walking out on the man who has so far
c06-091	c06-091.png	/132/c06-091.png	1577	1760	failed to make an honest woman of her.
b06-082	b06-082.png	/132/b06-082.png	668	855	The statement of Padley and Crossman is no
b06-082	b06-082.png	/132/b06-082.png	855	1036	different in principle to the new defence statement.
b06-082	b06-082.png	/132/b06-082.png	1036	1216	They accept American nuclear bases, and also
b06-082	b06-082.png	/132/b06-082.png	1216	1390	the use of nuclear weapons and nuclear strategy
b06-082	b06-082.png	/132/b06-082.png	1390	1568	until some future date. They deceive the people
b06-082	b06-082.png	/132/b06-082.png	1568	1749	by their talk of political and collective control
b06-082	b06-082.png	/132/b06-082.png	1749	1935	of Nato. The Pentagon has made it perfectly
b06-082	b06-082.png	/132/b06-082.png	1935	2111	clear who controls the American H-bomb, and
b06-082	b06-082.png	/132/b06-082.png	2111	2292	who will actually give the instructions to press
b06-082	b06-082.png	/132/b06-082.png	2292	2475	the button for nuclear warfare.
b06-045	b06-045.png	/132/b06-045.png	664	852	For many years my union had to present its views
b06-045	b06-045.png	/132/b06-045.png	852	1031	to the two major conferences of the movement and
b06-045	b06-045.png	/132/b06-045.png	1031	1207	take a licking. For us, unity meant accepting
b06-045	b06-045.png	/132/b06-045.png	1207	1389	unpalatable majority decisions as binding on the
b06-045	b06-045.png	/132/b06-045.png	1389	1568	movement and having a go next time. Alongside
b06-045	b06-045.png	/132/b06-045.png	1568	1754	many others, we conducted our fight by putting
b06-045	b06-045.png	/132/b06-045.png	1754	1927	down unambiguous alternatives to
b06-045	b06-045.png	/132/b06-045.png	1927	2115	official policy and seeking to win majorities
b06-045	b06-045.png	/132/b06-045.png	2115	2265	for them.
c06-047	c06-047.png	/132/c06-047.png	853	1035	LESS has been heard of Brendan’s work. It is now
c06-047	c06-047.png	/132/c06-047.png	1035	1213	five years since his first play, The Quare Fellow, was
c06-047	c06-047.png	/132/c06-047.png	1213	1393	produced, three years since Borstal Boy was published
c06-047	c06-047.png	/132/c06-047.png	1393	1579	and The Hostage was put on. What has happened to
c06-047	c06-047.png	/132/c06-047.png	1579	1754	the play, Richard’s Cork Leg, begun 18 months ago
c06-047	c06-047.png	/132/c06-047.png	1754	1946	and due for presentation at the Theatre Royal,
a06-152	a06-152.png	/086/a06-152.png	689	885	Behind Bonn’s slogan of German self-
a06-152	a06-152.png	/086/a06-152.png	885	1058	determination is the intention to impose
a06-152	a06-152.png	/086/a06-152.png	1060	1237	on East Germany the regime existing in
a06-152	a06-152.png	/086/a06-152.png	1237	1417	West Germany. REFUGEES are pouring out
a06-152	a06-152.png	/086/a06-152.png	1417	1589	of East Germany into West
a06-152	a06-152.png	/086/a06-152.png	1589	1764	Berlin faster than ever. Mr. K’s latest
a06-152	a06-152.png	/086/a06-152.png	1767	1949	Speech scared 1,157 East Germans to
a06-152	a06-152.png	/086/a06-152.png	1949	2125	cross into West Berlin’s reception centre
a06-152	a06-152.png	/086/a06-152.png	2125	2309	DURING MONDAY NIGHT. And officials
a06-152	a06-152.png	/086/a06-152.png	2310	2487	expect the total to leap to
a06-152	a06-152.png	/086/a06-152.png	2505	2663	3,000 a day.
b06-000	b06-000.png	/123/b06-000.png	698	864	SOME 17 years ago, in the early summer of 1934,
b06-000	b06-000.png	/123/b06-000.png	877	1042	the German ambassador in London was dictating
b06-000	b06-000.png	/123/b06-000.png	1056	1221	a secret report to his chief von Papen, in Berlin.
b06-000	b06-000.png	/123/b06-000.png	1238	1401	”Britain is uncomfort-able in her role of champion
b06-000	b06-000.png	/123/b06-000.png	1417	1582	of German rearmament, in opposition, to France.”
b06-000	b06-000.png	/123/b06-000.png	1595	1759	Later that year he warned that Britain knew
b06-000	b06-000.png	/123/b06-000.png	1776	1942	Germany was breaking the agreement to stop
b06-000	b06-000.png	/123/b06-000.png	1954	2117	building bombers, and added:
c06-100	c06-100.png	/123/c06-100.png	870	1032	So all ends as you know it will, with the
c06-100	c06-100.png	/123/c06-100.png	1052	1213	middle-aged romancers respectably wed and
c06-100	c06-100.png	/123/c06-100.png	1228	1394	Master Darin going steady with the delectable
c06-100	c06-100.png	/123/c06-100.png	1413	1577	Sandra Dee (to whom, I believe, he is married
c06-100	c06-100.png	/123/c06-100.png	1594	1757	in real life). Miss Dee, incidentally, who keeps
c06-100	c06-100.png	/123/c06-100.png	1772	1934	turning up as the typical teenager in all the
c06-100	c06-100.png	/123/c06-100.png	1944	2114	”good girl” parts (Tuesday Weld gets the ”bad girl”
c06-100	c06-100.png	/123/c06-100.png	2130	2293	ones), is becoming quite an accomplished actress.
b06-097	b06-097.png	/123/b06-097.png	702	864	This week of window dressing will not prevent
b06-097	b06-097.png	/123/b06-097.png	877	1045	most of the hopeful 15-year-olds leaving school
b06-097	b06-097.png	/123/b06-097.png	1062	1224	in six weeks time from ending up in blind alley
b06-097	b06-097.png	/123/b06-097.png	1240	1401	jobs. It needs more than 10,000 church parades
b06-097	b06-097.png	/123/b06-097.png	1415	1579	and open days at techs, more than descents into
b06-097	b06-097.png	/123/b06-097.png	1593	1758	Brighton’s sewers or balloon ascents over
b06-097	b06-097.png	/123/b06-097.png	1773	1941	Wolverhampton for Britain’s technical training to
b06-097	b06-097.png	/123/b06-097.png	1961	2118	catch up with the space age.
b06-023	b06-023.png	/123/b06-023.png	692	859	Alongside these divisions a force of over 600
b06-023	b06-023.png	/123/b06-023.png	869	1042	Starfighters provided by the Americans is growing
b06-023	b06-023.png	/123/b06-023.png	1049	1221	up. These ”fighters” are in fact fighter bombers
b06-023	b06-023.png	/123/b06-023.png	1231	1396	which could launch an atomic attack on
b06-023	b06-023.png	/123/b06-023.png	1408	1577	Eastern Europe. By 1963 the Germans plan to have
b06-023	b06-023.png	/123/b06-023.png	1589	1754	nine missile battalions, with 288 missiles and 36
b06-023	b06-023.png	/123/b06-023.png	1770	1937	firing ramps, including weapons like Matador
b06-023	b06-023.png	/123/b06-023.png	1947	2117	(range 950 miles), also provided by the Americans.
c06-039	c06-039.png	/123/c06-039.png	696	860	Among other incidents he was banned from New
c06-039	c06-039.png	/123/c06-039.png	871	1038	York’s St. Patrick’s Day parade as a ”disorderly
c06-039	c06-039.png	/123/c06-039.png	1055	1217	person.” He was in a fight after telling a
c06-039	c06-039.png	/123/c06-039.png	1234	1398	Canadian, during a chat about space-flight:
c06-039	c06-039.png	/123/c06-039.png	1409	1577	”Ireland will put a shillelagh into orbit, Israel
c06-039	c06-039.png	/123/c06-039.png	1591	1756	will put a matzo ball into orbit, and Lichtenstein
c06-039	c06-039.png	/123/c06-039.png	1770	1935	will put a postage stamp into orbit before you
c06-039	c06-039.png	/123/c06-039.png	1955	2110	Canadians put up a mouse.”
c04-134	c04-134.png	/169/c04-134.png	713	890	The numbers include ”Scotland the Brave,” ”Men of Harlech,”
c04-134	c04-134.png	/169/c04-134.png	900	1070	”McNamara’s Band,” ”Greensleeves” and ”English Rose.”
c04-134	c04-134.png	/169/c04-134.png	1073	1249	Fay Compton stars in ”No Hiding Place” (ITV, 9.35 p.m.).
c04-134	c04-134.png	/169/c04-134.png	1259	1432	She plays the possessive mother of a man whose hobby revolves
c04-134	c04-134.png	/169/c04-134.png	1456	1601	round a doll’s house.
c04-134	c04-134.png	/169/c04-134.png	1614	1792	THREE people will be hypnotised in tonight’s ”Lifeline”
c04-139	c04-139.png	/169/c04-139.png	739	896	They will be asked to comment on the design of everyday articles
c04-139	c04-139.png	/169/c04-139.png	919	1074	such as a chair and a motor-car. The idea is to see what happens when
c04-139	c04-139.png	/169/c04-139.png	1095	1254	parts of the mind not normally available without hypnosis are used.
c04-139	c04-139.png	/169/c04-139.png	1270	1432	ITV have postponed Malcolm Muggeridge’s ”Appointment with
c04-139	c04-139.png	/169/c04-139.png	1449	1618	playwright Arnold Wesker.” Instead, Muggeridge’s appointment
c04-139	c04-139.png	/169/c04-139.png	1623	1787	will be with Sir Roy Welensky the Premier of the Federation
c04-139	c04-139.png	/169/c04-139.png	1811	1964	of Rhodesia and Nyasaland (10.30 p.m.).
a06-051	a06-051.png	/074/a06-051.png	670	856	There were loud cries of ”shame” from
a06-051	a06-051.png	/074/a06-051.png	856	1036	all parts of the Conservative side. Mr.
a06-051	a06-051.png	/074/a06-051.png	1036	1217	Fell appeared to be in tears as he sat
a06-051	a06-051.png	/074/a06-051.png	1217	1392	down. A few minutes later, Mr. Fell got up
a06-051	a06-051.png	/074/a06-051.png	1392	1570	and left the chamber. He returned five
a06-051	a06-051.png	/074/a06-051.png	1570	1753	minutes later to stand just inside the
a06-051	a06-051.png	/074/a06-051.png	1753	1931	doorway looking more composed. In the
a06-051	a06-051.png	/074/a06-051.png	1931	2111	middle of the amazing scene, Mr. Macmillan
a06-051	a06-051.png	/074/a06-051.png	2111	2282	waved his hand at Mr. Fell.
a06-090	a06-090.png	/079/a06-090.png	721	898	He claimed that, unless we were in the
a06-090	a06-090.png	/079/a06-090.png	900	1084	Common Market, we should not be able to
a06-090	a06-090.png	/079/a06-090.png	1084	1263	play any part in determining its future.
a06-090	a06-090.png	/079/a06-090.png	1263	1435	”We can lead better from within,” he said.
a06-090	a06-090.png	/079/a06-090.png	1435	1619	Mr. Macmillan dealt with the main objection
a06-090	a06-090.png	/079/a06-090.png	1619	1805	raised by Tory critics. Mr. Anthony Fell,
a06-090	a06-090.png	/079/a06-090.png	1805	1978	who created a scene on this point on
a06-090	a06-090.png	/079/a06-090.png	1978	2156	Monday, took up a position almost hidden
a06-090	a06-090.png	/079/a06-090.png	2156	2333	behind the Serjeant at Arms’ chair.
a02-012	a02-012.png	/024/a02-012.png	859	1035	The team is composed of experienced
a02-012	a02-012.png	/024/a02-012.png	1035	1214	negotiators in several fields. Sir Pier-
a02-012	a02-012.png	/024/a02-012.png	1219	1389	son Dixon has a wide reputation as
a02-012	a02-012.png	/024/a02-012.png	1399	1575	a skilful backstage negotiator since
a02-012	a02-012.png	/024/a02-012.png	1575	1753	his days as Britain’s chief UN dele-
a02-012	a02-012.png	/024/a02-012.png	1756	1928	gate. Second in command is Mr.
a02-012	a02-012.png	/024/a02-012.png	1928	2112	Eric Roll, 53-year-old Deputy Secre-
a02-012	a02-012.png	/024/a02-012.png	2112	2287	tary at the Ministry of Agriculture,
a02-012	a02-012.png	/024/a02-012.png	2287	2465	Food, and Fisheries. The Foreign Office
a02-012	a02-012.png	/024/a02-012.png	2465	2646	is represented by Sir Roderick Barclay,
a05-009	a05-009.png	/065/a05-009.png	687	854	He has had numerous meetings with the Service
a05-009	a05-009.png	/065/a05-009.png	864	1031	Ministers. He has also had talks with the Earl
a05-009	a05-009.png	/065/a05-009.png	1043	1211	of Home, Foreign Secretary, and with other
a05-009	a05-009.png	/065/a05-009.png	1224	1393	Ministers concerned with overseas aspects
a05-009	a05-009.png	/065/a05-009.png	1399	1572	of defence policy. Details of the scheme
a05-009	a05-009.png	/065/a05-009.png	1580	1752	are now being worked out by the Chiefs
a05-009	a05-009.png	/065/a05-009.png	1753	1931	of Staff, a process that may take four
a05-009	a05-009.png	/065/a05-009.png	1942	2089	or five months.
a05-004	a05-004.png	/065/a05-004.png	762	901	Short of wearing the same uniform, which is
a05-004	a05-004.png	/065/a05-004.png	901	1031	not contemplated, the Navy, Army and Royal
a05-004	a05-004.png	/065/a05-004.png	1031	1157	Air Force would become, for practical purposes,
a05-004	a05-004.png	/065/a05-004.png	1157	1275	a single defence force. There would be
a05-004	a05-004.png	/065/a05-004.png	1275	1408	complete co-operation at all levels in training
a05-004	a05-004.png	/065/a05-004.png	1408	1541	and operations. This would apply also in the
a05-004	a05-004.png	/065/a05-004.png	1541	1674	command structure and central administrative
a05-004	a05-004.png	/065/a05-004.png	1674	1812	organisation. Mr. Watkinson, Minister of Defence,
a05-004	a05-004.png	/065/a05-004.png	1812	1959	has been working on the plan for some months,
a05-004	a05-004.png	/065/a05-004.png	1959	2110	with the Prime Minister’s approval.
a02-120	a02-120.png	/039/a02-120.png	681	850	The possibility that the Government might
a02-120	a02-120.png	/039/a02-120.png	854	1024	invoke the Public Order Act, 1936, and
a02-120	a02-120.png	/039/a02-120.png	1031	1206	declare the whole rally illegal - whether
a02-120	a02-120.png	/039/a02-120.png	1218	1384	the demonstrators sit down or not - was
a02-120	a02-120.png	/039/a02-120.png	1389	1566	being discussed in Whitehall last night.
a02-120	a02-120.png	/039/a02-120.png	1579	1745	It was last used a year ago, to deal
a02-120	a02-120.png	/039/a02-120.png	1745	1920	with the St. Pancras rent riots. Today
a02-120	a02-120.png	/039/a02-120.png	1920	2098	Mr. Butler will have talks with Police
a02-120	a02-120.png	/039/a02-120.png	2114	2278	Commissioner Sir Joseph Simpson to
a02-120	a02-120.png	/039/a02-120.png	2283	2454	draw up final plans for the „Battle
a02-120	a02-120.png	/039/a02-120.png	2468	2627	of Parliament Square.“
c02-007	c02-007.png	/139/c02-007.png	725	885	In 1950 he began to take photographs not
c02-007	c02-007.png	/139/c02-007.png	908	1065	only in Germany but also in Africa and
c02-007	c02-007.png	/139/c02-007.png	1084	1244	America. An exhibition of these works which
c02-007	c02-007.png	/139/c02-007.png	1267	1423	is now on view in a Berlin gallery is most im-
c02-007	c02-007.png	/139/c02-007.png	1440	1603	pressive. As Friedrich Du”rrenmatt, the Swiss
c02-007	c02-007.png	/139/c02-007.png	1625	1783	playwright and author, wrote: ”Wicki’s blacks
c02-007	c02-007.png	/139/c02-007.png	1803	1965	and greys are not only the colours of the
c02-007	c02-007.png	/139/c02-007.png	1979	2142	lost and the forgotten, but they are also the
c02-007	c02-007.png	/139/c02-007.png	2161	2321	technical means of abstraction.
c02-017	c02-017.png	/139/c02-017.png	878	1063	Following Bruce Marshall’s original novel with
c02-017	c02-017.png	/139/c02-017.png	1063	1246	considerable fidelity, the film tells the story
c02-017	c02-017.png	/139/c02-017.png	1246	1421	of a little monk who prays that a disrepu-
c02-017	c02-017.png	/139/c02-017.png	1423	1603	table night club near his church be re-
c02-017	c02-017.png	/139/c02-017.png	1607	1780	moved. One night his prayer is answered
c02-017	c02-017.png	/139/c02-017.png	1780	1961	and the offending establishment is suddenly
c02-017	c02-017.png	/139/c02-017.png	1961	2135	transplanted to an island in the North Sea.
c02-017	c02-017.png	/139/c02-017.png	2135	2318	But Father Malachias’s troubles have only
c02-017	c02-017.png	/139/c02-017.png	2318	2501	begun. Instead of having the desired effect,
c02-017	c02-017.png	/139/c02-017.png	2501	2678	the miracle becomes exploited by a group
c03-094	c03-094e.png	/154/c03-094e.png	716	904	Mr. William Lucas (Morris) is always insen-
